Date Raw;Date Parsed;SLP Burned;SLP Minted
1615248000000;03/08/2021;50300;4171574
1615334400000;03/09/2021;190600;1760250
1615420800000;03/10/2021;244400;1090601
1615507200000;03/11/2021;33200;2341023
1615593600000;03/12/2021;65700;9246184
1615680000000;03/13/2021;176000;14032906
1615766400000;03/14/2021;74800;9098046
1615852800000;03/15/2021;168800;2224670
1615939200000;03/16/2021;166900;1372389
1616025600000;03/17/2021;176000;1266558
1616112000000;03/18/2021;429000;1780124
1616198400000;03/19/2021;685900;2356625
1616284800000;03/20/2021;475800;2738736
1616371200000;03/21/2021;144500;1110095
1616457600000;03/22/2021;240900;1182008
1616544000000;03/23/2021;235600;1290948
1616630400000;03/24/2021;302800;617169
1616716800000;03/25/2021;637700;1847852
1616803200000;03/26/2021;835400;2859344
1616889600000;03/27/2021;670300;2272848
1616976000000;03/28/2021;405600;1883253
1617062400000;03/29/2021;213100;2180303
1617148800000;03/30/2021;173000;1517504
1617235200000;03/31/2021;66000;954990
1617321600000;04/01/2021;276700;1907360
1617408000000;04/02/2021;641700;3506196
1617494400000;04/03/2021;1156900;5857813
1617580800000;04/04/2021;402100;3235953
1617667200000;04/05/2021;299800;2873026
1617753600000;04/06/2021;282400;1479383
1617840000000;04/07/2021;657700;2197811
1617926400000;04/08/2021;737200;2531845
1618012800000;04/09/2021;994900;3200475
1618099200000;04/10/2021;1081000;6577422
1618185600000;04/11/2021;405900;2001568
1618272000000;04/12/2021;371900;1815708
1618358400000;04/13/2021;112700;1301129
1618444800000;04/14/2021;362000;4201915
1618531200000;04/15/2021;25100;721483
1618617600000;04/16/2021;44900;1070752
1618704000000;04/17/2021;127100;1213176
1618790400000;04/18/2021;63000;1054169
1618876800000;04/19/2021;1200;116626
1618963200000;04/20/2021;93200;2190615
1619049600000;04/21/2021;286000;2153263
1619136000000;04/22/2021;447800;2653718
1619222400000;04/23/2021;1095800;7516690
1619308800000;04/24/2021;678900;9639212
1619395200000;04/25/2021;232100;5816427
1619481600000;04/26/2021;212500;11593541
1619568000000;04/27/2021;775800;11150048
1619654400000;04/28/2021;1213900;2885845
1619740800000;04/29/2021;1434800;1351475
1619827200000;04/30/2021;747100;199976
1619913600000;05/01/2021;669400;130862
1620000000000;05/02/2021;535300;421966
1620086400000;05/03/2021;823400;488598
1620172800000;05/04/2021;779400;536949
1620259200000;05/05/2021;848800;683441
1620345600000;05/06/2021;777100;525436
1620432000000;05/07/2021;713600;411225
1620518400000;05/08/2021;711800;494895
1620604800000;05/09/2021;512900;529761
1620691200000;05/10/2021;3196500;89096986
1620777600000;05/11/2021;3870000;32756753
1620864000000;05/12/2021;3707400;9136343
1620950400000;05/13/2021;3773700;6978623
1621036800000;05/14/2021;4251100;5991600
1621123200000;05/15/2021;5496300;6921560
1621209600000;05/16/2021;6883800;5807804
1621296000000;05/17/2021;6991000;5895104
1621382400000;05/18/2021;5413100;4537692
1621468800000;05/19/2021;5433150;5841019
1621555200000;05/20/2021;6336900;5333643
1621641600000;05/21/2021;7525500;6987643
1621728000000;05/22/2021;7096050;6912019
1621814400000;05/23/2021;7238850;4271387
1621900800000;05/24/2021;8839350;9873965
1621987200000;05/25/2021;8311500;11834331
1622073600000;05/26/2021;7157400;25039965
1622160000000;05/27/2021;6484050;36541296
1622246400000;05/28/2021;7092450;12127544
1622332800000;05/29/2021;7805700;7201610
1622419200000;05/30/2021;9935700;8050973
1622505600000;05/31/2021;11220600;6600210
1622592000000;06/01/2021;10585350;4544536
1622678400000;06/02/2021;11156700;5735820
1622764800000;06/03/2021;11859000;4631278
1622851200000;06/04/2021;13737600;5521165
1622937600000;06/05/2021;15363150;5620954
1623024000000;06/06/2021;14059500;5086602
1623110400000;06/07/2021;15632100;8459046
1623196800000;06/08/2021;16264500;10589406
1623283200000;06/09/2021;16918500;14386442
1623369600000;06/10/2021;16386600;20711688
1623456000000;06/11/2021;18540000;13350149
1623542400000;06/12/2021;16597800;11838505
1623628800000;06/13/2021;17923500;16412915
